,center id,offer number,acceptance rate,accepted offers,offer number (filtered),acceptance rate (filtered),accepted offers (filtered)
0,CTR20522,47523,0.06941901815962798,3299,12140,0.1859143327841845,2257
1,CTR19034,99156,0.02782484166364113,2759,17608,0.11364152657882781,2001
2,CTR6820,87248,0.031129653401797176,2716,13120,0.12903963414634145,1693
3,CTR7471,149885,0.01535176969009574,2301,16429,0.1029277497108771,1691
4,CTR23312,107625,0.018397212543554007,1980,31013,0.05181697997613904,1607
5,CTR14942,45179,0.04302884083313044,1944,11148,0.133745963401507,1491
6,CTR16864,75949,0.023239278989848452,1765,14030,0.10627227369921596,1491
7,CTR23808,93968,0.021954282308871104,2063,29964,0.0486250166866907,1457
8,CTR25110,170070,0.016334450520373963,2778,31313,0.04378373199629547,1371
9,CTR13609,92595,0.017819536692046008,1650,13764,0.0963382737576286,1326
10,CTR11470,105410,0.018632008348354046,1964,16751,0.07814458838278311,1309
11,CTR7161,33234,0.05410122164048865,1798,8676,0.14949285384970032,1297
12,CTR1395,77402,0.02173070463295522,1682,14648,0.08772528672856363,1285
13,CTR15593,62937,0.023944579500135055,1507,16657,0.0732424806387705,1220
14,CTR11067,131144,0.013931251143780882,1827,11514,0.10578426263679,1218
15,CTR7905,72974,0.022788938526050375,1663,10318,0.11155262647799961,1151
16,CTR18755,144982,0.012270488750327628,1779,15855,0.07095553453169347,1125
17,CTR7223,99920,0.01457165732586069,1456,11153,0.09916614363848292,1106
18,CTR279,158842,0.010740232432228252,1706,17905,0.06093270036302709,1091
19,CTR14539,61207,0.02186024474324832,1338,10609,0.10255443491375248,1088
20,CTR12152,55340,0.02412359956631731,1335,6706,0.14777810915597972,991
21,CTR6510,96642,0.011765071087104985,1137,27192,0.03556192997940571,967
22,CTR11129,109233,0.015645455128029076,1709,12629,0.07601551983529971,960
23,CTR20677,112492,0.014276570778366462,1606,10953,0.08463434675431389,927
24,CTR21514,43446,0.025433871932974268,1105,8778,0.10469355206197312,919
25,CTR11532,26313,0.045718846197696957,1203,7281,0.12127455019914847,883
26,CTR6975,80664,0.014343449370227116,1157,19230,0.045085803432137285,867
27,CTR9362,85097,0.01322020752787995,1125,14157,0.0607473334746062,860
28,CTR17081,76326,0.017294237874380947,1320,15687,0.05424874099572895,851
29,CTR3813,28794,0.035736611794123775,1029,8397,0.09896391568417291,831
30,CTR14415,54185,0.01862138968349174,1009,8742,0.0913978494623656,799
31,CTR13051,100251,0.010663235279448584,1069,18204,0.04334212261041529,789
32,CTR4464,62634,0.019095060190950603,1196,14251,0.054101466563749916,771
33,CTR7347,57533,0.019536613769488814,1124,9745,0.0758337609030272,739
34,CTR16523,60389,0.015118647435791286,913,5715,0.12440944881889764,711
35,CTR16430,53190,0.017898101146832112,952,15301,0.04529115744069015,693
36,CTR6200,20935,0.03969429185574397,831,4469,0.1521593197583352,680
37,CTR1891,49087,0.01841628129647361,904,12110,0.05516102394715112,668
38,CTR1860,66385,0.011629133087293816,772,12322,0.05404966726180815,666
39,CTR248,67398,0.0159500281907475,1075,14087,0.04266344856960318,601
40,CTR5487,35946,0.020836810771713125,749,10622,0.05450950856712484,579
41,CTR3410,35821,0.024901594037017392,892,4952,0.11167205169628433,553
42,CTR19499,69910,0.010928336432556144,764,18396,0.028647532072189605,527
43,CTR23622,22042,0.030577987478450232,674,6025,0.08614107883817428,519
44,CTR310,21712,0.028141120117907148,611,5155,0.09020368574199807,465
45,CTR2418,19879,0.03415664771869813,679,4321,0.10599398287433465,458
46,CTR15407,18483,0.025536979927500945,472,3261,0.13124808340999694,428
47,CTR17918,37948,0.01641720248761463,623,6549,0.06520079401435333,427
48,CTR4712,31804,0.01619293170670356,515,4419,0.09210228558497398,407
49,CTR18786,14815,0.03455956800539993,512,3570,0.10420168067226891,372
50,CTR18352,40837,0.011851996963537968,484,4725,0.07132275132275133,337
51,CTR24521,20935,0.018629090040601863,390,3482,0.09276278001148765,323
52,CTR19871,21403,0.01845535672569266,395,4873,0.06443669197619536,314
53,CTR3503,34248,0.013752627890679747,471,4900,0.061632653061224486,302
54,CTR15748,26035,0.012867294027270982,335,4697,0.06046412603789653,284
55,CTR682,17623,0.021449242467230324,378,2489,0.11088790678987545,276
56,CTR14074,27232,0.012962690951821386,353,4612,0.05637467476149176,260
57,CTR4774,15191,0.01823448094266342,277,1342,0.1661698956780924,223
58,CTR2480,13297,0.01872602842746484,249,2017,0.10064452156668319,203
59,CTR10881,18513,0.012855831037649219,238,3614,0.053126729385722195,192
60,CTR17608,10236,0.025009769441187966,256,2589,0.07145616067979915,185
61,CTR23591,16296,0.01055473735886107,172,1844,0.06182212581344902,114
62,CTR19437,15364,0.034235876073939076,526,39,0.10256410256410256,4
63,CTR15531,10795,0.039925891616489115,431,52,0.057692307692307696,3
